,Title,Lyrics
56,I Know It’s Over,"but in my heart it was so real, and you even spoke to me"
57,I Know It’s Over,"if you're so funny, then why are you on your own tonight?"
58,I Know It’s Over,"and if you're so clever, then why are you on your own tonight?"
59,I Know It’s Over,"if you're so very entertaining, then why are you on your own tonight?"
60,I Know It’s Over,"if you're so very good-looking, why do you sleep alone tonight?"
61,I Know It’s Over,"i know... 'cause tonight is just like any other night, that's why you're on your own tonight"
62,I Know It’s Over,"with your triumphs and your charms, while they're in each other's arms…"
63,I Know It’s Over,"it's so easy to laugh, it's so easy to hate, it takes strength to be gentle and kind"
64,I Know It’s Over,"over, over, over, over"
65,I Know It’s Over,"it's so easy to laugh, it's so easy to hate, it takes guts to be gentle and kind"
66,I Know It’s Over,"love is natural and real, but not for you, my love, not tonight, my love"
67,I Know It’s Over,"love is natural and real, but not for such as you and I, my love"
68,Never Had No One Ever,"when you walk without ease, on these, streets where you were raised"
69,Never Had No One Ever,"i had a really bad dream, it lasted 20 years, 7 months, and 27 days"
70,Never Had No One Ever,"and I know alone that i never, ever oh, had no one ever"
71,Never Had No One Ever,"now i'm outside your house, i'm alone"
72,Never Had No One Ever,"and i'm outside your house, i hate to intrude …"
73,Never Had No One Ever,"oh, alone, i'm alone, i'm alone, i'm alone and i never, never ... oh ... had no one ever"
74,Never Had No One Ever,i never had no one ever
75,Cemetry Gates,"a dreaded sunny day, so i meet you at the cemetry gates"
76,Cemetry Gates,"keats and yeats are on your side, while wilde is on mine"
77,Cemetry Gates,so we go inside and we gravely read the stones
78,Cemetry Gates,"all those people, all those lives, where are they now? with-a loves and hates and passions just like mine"
79,Cemetry Gates,"they were born, and then they lived, and then they died, seems so unfair, i want to cry"
80,Cemetry Gates,"you say: ""ere thrice the sun done salutation to the dawn”, and you claim these words as your own"
81,Cemetry Gates,"but i've read well and i've heard them said, a hundred times, maybe less, maybe more"
82,Cemetry Gates,"if you must write prose and poems the words you use should be your own, don't plagiarise or take ""on loan”"
83,Cemetry Gates,"cause there's always someone, somewhere with a big nose, who knows, and who trips you up and laughs when you fall"
84,Cemetry Gates,"you say: ""ere long done do does did”, words which could only be your own"
85,Cemetry Gates,"and then produce the text from whence was ripped, some dizzy whore, 1804"
86,Cemetry Gates,"a dreaded sunny day, so let's go where we're happy, and i meet you at the cemetry gates"
87,Cemetry Gates,"a dreaded sunny day, so let's go where we're wanted"
88,Cemetry Gates,"keats and yeats are on your side, but you lose 'cause whale blubber wilde is on mine"
89,Cemetry Gates,sugar!
90,Bigmouth Strikes Again,"sweetness, sweetness i was only joking, when i said, i'd like to smash every tooth in your head"
91,Bigmouth Strikes Again,"oh... sweetness, sweetness, i was only joking when i said by rights you should be bludgeoned in your bed"
92,Bigmouth Strikes Again,"now i know how joan of arc felt, as the flames rose to her roman nose, and her walkman started to melt "
93,Bigmouth Strikes Again,"bigmouth la-da-da-dada, bigmouth la-da-da-daa"
94,Bigmouth Strikes Again,bigmouth strikes again!
95,Bigmouth Strikes Again,"bigmouth strikes again! and i've got no right to take my place, with the human race"
96,The Boy with the Thorn in His Side,the boy with the thorn in his side
97,The Boy with the Thorn in His Side,"behind the hatred there lies, a murderous desire, for love"
98,The Boy with the Thorn in His Side,"how can they look into my eyes, and still they don't believe me?"
99,The Boy with the Thorn in His Side,"how can they hear me say those words, still they don't believe me?"
100,The Boy with the Thorn in His Side,"and if they don't believe me now, will they ever believe me?"
101,The Boy with the Thorn in His Side,"will they ever, they ever believe me?"
102,The Boy with the Thorn in His Side,"oh, ohh... ohhh... ohhhh"
103,The Boy with the Thorn in His Side,"behind the hatred there lies, a plundering desire, for l-l-love"
104,The Boy with the Thorn in His Side,"how can they see the love in our eyes, and still they don't believe us?"
105,The Boy with the Thorn in His Side,"and after all this time, they don't want to believe us"
106,The Boy with the Thorn in His Side,"and when you want to live, how do you start? where do you go? who do you need to know?"
107,Vicar in a Tutu,"i was minding my business, lifting some lead off, the roof of the holy name church"
108,Vicar in a Tutu,"it was worthwhile living a laughable life, to set my eyes on the blistering sight, of a vicar in a tutu"
109,Vicar in a Tutu,"he's not strange, he just wants to live his life this way"
110,Vicar in a Tutu,"a scanty bit of a thing, with a decorative ring, that wouldn't cover the head of a goose"
111,Vicar in a Tutu,"as rose collects the money in a canister, who comes sliding down the bannister? a vicar in a tutu"
112,Vicar in a Tutu,"the monkish monsignor, with a head full of plaster, said ""my man, get your vile soul dry-cleaned”"
113,Vicar in a Tutu,"as rose counts the money in the canister, as natural as rain, he dances again, my god!"
114,Vicar in a Tutu,the vicar in a tutu
115,Vicar in a Tutu,"the next day in the pulpit, with freedom and ease, combatting ignorance, dust, and disease, as rose counts the money in the canister, as natural as rain, he dances again and again and again"
116,Vicar in a Tutu,"in the fabric of a tutu, any man could get used to, and i am the living sign"
117,There Is a Light That Never Goes Out,"take me out tonight, where there's music and there's people, and they're young and alive"
118,There Is a Light That Never Goes Out,"driving in your car, i never, never want to go home, because i haven't got one anymore"
119,There Is a Light That Never Goes Out,"take me out tonight, because i want to see people, and i want to see life"
120,There Is a Light That Never Goes Out,"driving in your car, oh, please don't drop me home"
121,There Is a Light That Never Goes Out,"because it's not my home, it's their home, and i'm welcome no more"
122,There Is a Light That Never Goes Out,"and if a double-decker bus crashes into us, to die by your side is such a heavenly way to die"
123,There Is a Light That Never Goes Out,"and if a ten-tonne truck kills the both of us, to die by your side, well, the pleasure, the privilege is mine"
124,There Is a Light That Never Goes Out,"take me anywhere, i don't care, i don't care"
125,There Is a Light That Never Goes Out,"and in the darkened underpass, i thought ""oh god, my chance has come at last”, but then a strange fear gripped me and i just couldn't ask"
126,There Is a Light That Never Goes Out,but then a strange fear gripped me and i just couldn't ask
127,There Is a Light That Never Goes Out,"take me out tonight, oh, take me anywhere, i don't care, i don't care"
128,There Is a Light That Never Goes Out,"oh, there is a light and it never goes out"
129,Some Girls Are Bigger Than Others,"from the ice age to the dole age, there is but one concern, i have just discovered: some girls' are bigger than others"
130,Some Girls Are Bigger Than Others,some girls' are bigger than others
131,Some Girls Are Bigger Than Others,some girls' mothers are bigger than other girls' mothers
132,Some Girls Are Bigger Than Others,"as anthony said to Cleopatra, as he opened a crate of ale: ""oh i say”"
133,Some Girls Are Bigger Than Others,"send me the pillow, the one that you dream on, and i'll send you mine"
